class_name,sdk_name
com.adxcorp.ads.mediation.ui.webview.AdWebView$2,ADX SDK
com.adxcorp.ads.mediation.MediationSDK$2,ADX SDK
com.adxcorp.ads.mediation.InAppBrowser,ADX SDK
com.aidem.webview.WebViewUnityPlugin,AIDEM
com.aidem.webview.WebViewConsent,AIDEM
com.alxad.f.k0,ALX ad network SDK
com.alxad.z.j2,ALX ad network SDK
com.alxad.z.e4,ALX ad network SDK
com.alxad.z.g4,ALX ad network SDK
com.alxad.z.t4,ALX ad network SDK
com.alxad.z.r4,ALX ad network SDK
com.adcolony.sdk.t0$c,AdColony
com.adcolony.sdk.w0$b,AdColony
com.adcolony.sdk.n$3,AdColony
com.iab.omid.library.adcolony.publisher.c,AdColony
com.adcolony.sdk.k$b,AdColony
com.iab.omid.library.adcolony.publisher.b,AdColony
com.adcolony.sdk.n$b,AdColony
com.adcolony.sdk.x,AdColony
com.adcolony.sdk.d2,AdColony
com.kakao.adfit.n.i,AdFit Android SDK
com.kakao.adfit.k.g,AdFit Android SDK
com.kakao.adfit.k.i,AdFit Android SDK
com.kakao.adfit.e.f,AdFit Android SDK
com.kakao.i.app.SdkUnder14Activity,AdFit Android SDK
com.adgatemedia.sdk.fragments.AdgateWebViewFragment,AdGate Media SDK
com.adgatemedia.sdk.classes.AdGateMedia,AdGate Media SDK
com.gomfactory.adpie.sdk.AdPieSDK$3,AdPie Android SDK
com.gomfactory.adpie.sdk.ui.webview.AdWebView$2,AdPie Android SDK
com.gomfactory.adpie.sdk.InAppBrowser,AdPie Android SDK
com.iab.omid.library.adview.publisher.b,AdView SDK
com.adivery.sdk.q0$a,Adivery
com.adivery.sdk.d1,Adivery
com.adivery.sdk.i1,Adivery
com.adivery.sdk.t0$a,Adivery
io.adjoe.sdk.n3$e,Adjoe SDK
io.adjoe.sdk.s1$f,Adjoe SDK
io.adjoe.sdk.k1$f,Adjoe SDK
io.adjoe.sdk.n2$e,Adjoe SDK
io.adjoe.sdk.g1$e,Adjoe SDK
io.adjoe.sdk.j3$e,Adjoe SDK
io.adjoe.sdk.o2$e,Adjoe SDK
io.adjoe.sdk.n0$f,Adjoe SDK
io.adjoe.sdk.j1$f,Adjoe SDK
io.adjoe.sdk.r1$f,Adjoe SDK
io.adjoe.wave.w6,Adjoe SDK
io.adjoe.sdk.z1$e,Adjoe SDK
io.adjoe.sdk.g0$f,Adjoe SDK
io.adjoe.sdk.b3$f,Adjoe SDK
io.adjoe.sdk.b1$e,Adjoe SDK
io.adjoe.sdk.e2$f,Adjoe SDK
io.adjoe.sdk.q1$f,Adjoe SDK
io.adjoe.sdk.f1$e,Adjoe SDK
io.adjoe.sdk.s0$f,Adjoe SDK
io.adjoe.sdk.p1$f,Adjoe SDK
io.adjoe.sdk.f2$f,Adjoe SDK
com.mocoplex.adlib.AdlibManagerCore,Adlib
com.mocoplex.adlib.platform.c,Adlib
com.mocoplex.adlib.platform.interstitial.match.AdlibIntersMatchParentSmart$b,Adlib
com.mocoplex.adlib.platform.interstitial.match.AdlibIntersMatchParentSmart$3,Adlib
com.mocoplex.adlib.platform.interstitial.ads.AdlibAdInterstitialExchange$2,Adlib
com.mocoplex.adlib.platform.banner.ads.AdlibAdBannerExchange$2,Adlib
com.mocoplex.adlib.platform.interstitial.match.AdlibIntersMatchParentSmart$c,Adlib
com.mocoplex.adlib.platform.interstitial.ads.AdlibAdInterstitialExchange$b,Adlib
com.mocoplex.adlib.platform.AdlibAdPlatform,Adlib
com.mocoplex.adlib.dynamicad.layout.AdlibDynamicView$4,Adlib
com.mocoplex.adlib.dynamicad.layout.AdlibDynamicView$d,Adlib
com.mocoplex.adlib.platform.banner.ads.AdlibAdBannerExchange$b,Adlib
admost.sdk.networkadapter.AdMostFacebookBiddingManager,Admost SDK
admost.sdk.networkadapter.AdMostAdcolonyBiddingManager,Admost SDK
admost.adserver.ads.AdMostFullScreenAd,Admost SDK
com.adobe.air.AdobeAIRWebView,Adobe Air
com.adobe.marketing.mobile.assurance.AssuranceWebViewSocket$2,Adobe Experience Cloud
com.adobe.marketing.mobile.LegacyMessageFullScreen$MessageFullScreenRunner,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.MessageWebViewRunner,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.g$a,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.d,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.i$b,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.internal.d,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.r$a,Adobe Experience Cloud
com.adobe.marketing.mobile.AssuranceFullScreenTakeover$1,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.l$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.AssuranceWebViewSocket$b,Adobe Experience Cloud
com.adobe.marketing.mobile.GriffonFullScreenTakeover$1,Adobe Experience Cloud
com.adobe.marketing.mobile.GriffonWebViewSocket$1$1,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.internal.AssuranceWebViewSocket$2,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.AEPMessage,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.q$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.l,Adobe Experience Cloud
com.adobe.marketing.mobile.AndroidFullscreenMessage$MessageFullScreenRunner,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.e$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.p$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.AssuranceFloatingButton$2,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.AssuranceWebViewSocket$1,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.message.views.MessageContentKt$MessageContent$1,Adobe Experience Cloud
com.adobe.marketing.mobile.h.o0.e,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.m,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.AssuranceFullScreenTakeover$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.d$a,Adobe Experience Cloud
com.adobe.marketing.mobile.AssuranceWebViewSocket$2,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.a,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.c,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.j$a,Adobe Experience Cloud
com.adobe.marketing.mobile.services.ui.AEPMessage$$ExternalSyntheticLambda2,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.z,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.AssuranceFullScreenTakeover$1,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.h0$b,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.c,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.f$a,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.r0,Adobe Experience Cloud
com.adobe.marketing.mobile.assurance.g0$b,Adobe Experience Cloud
com.adobe.mobile.w$a,Adobe Mobile SDK
